Cut# Description Data Bkg sig_60p3_1 sig_60p3_10 sig_60p3_100 sig_60p3_1000
cut0 "No cuts" 0 0 1.18598e+06 1.20341e+06 1.17719e+06 1.26937e+06
cut1 "MET filter bits pass" 0 0 1.18598e+06 1.20309e+06 1.17655e+06 1.26937e+06
cut2 "HEM veto" 0 0 1.14741e+06 1.16214e+06 1.13863e+06 1.22453e+06
cut3 "Trigger fired (120 GeV METNoMu)" 0 0 452134 447899 439858 493961
cut4 "MET > 200 GeV" 0 0 222034 215481 223980 245230
cut5 "|CaloMET - PFMET|/CaloMET < 1" 0 0 221079 214845 223060 243892
cut6 "nJets > 0 (pT > 30 GeV)" 0 0 218071 211756 218163 238768
cut7 "leading jet |#eta| < 2.4" 0 0 209812 204687 208594 228721
cut8 "Leading jet pT > 80 GeV" 0 0 205483 200818 202794 224568
cut9 "|#Delta#Phi(MET, leading jet)| > 1.5" 0 0 204025 199904 200599 223026
cut10 "|#Delta#Phi(MET, all jets)| > 0.5" 0 0 185277 181336 181824 200570
cut11 "nJets < 3 (pT > 30 GeV)" 0 0 129819 127881 128070 138905
cut12 "0 b-tagged jets" 0 0 123930 124197 122510 132543
cut13 "good dSA muons >= 1" 0 0 12444.3 13351.9 12387.3 17233.5
cut14 "good dSA muons >= 2" 0 0 803.963 633.166 1093.84 941.611
cut15 "best_dsa_0 != best_dsa_1" 0 0 647.245 633.166 952.668 795.257
cut16 "Cosmic veto (min(cosalpha) > -0.94)" 0 0 647.245 633.166 952.668 643.557
cut17 "good dSA-dSA vertex >= 1" 0 0 647.245 633.166 952.668 643.557
cut18 "Best dSA 0 pT resolution < 1" 0 0 647.245 633.166 952.668 643.557
cut19 "Best dSA 1 pT resolution < 1" 0 0 647.245 633.166 952.668 643.557
cut20 "Vertex #chi^{2} < 4" 0 0 478.975 633.166 952.668 323.066
cut21 "MT < 200 GeV" 0 0 478.975 633.166 786.708 323.066
cut22 "M_{#mu#mu} < 30 GeV" 0 0 478.975 487.837 786.708 323.066
cut23 "dR(muons) < 0.9" 0 0 155.898 167.777 0 0
cut24 "muons: OSSF" 0 0 155.898 0 0 0
cut25 "Selected muon 0 dxy > 0.1 cm" 0 0 0 0 0 0
cut26 "Selected muon 1 dxy > 0.1 cm" 0 0 0 0 0 0
cut27 "0 GM-dSA matched" 0 0 0 0 0 0
cut28 "1 GM-dSA matched" 0 0 0 0 0 0
cut29 "2 GM-dSA matched" 0 0 0 0 0 0
